Name,Materials,Industrials,Consumer Disc,Consumer Staples,Energy,Financial,Utilities,HealthCare\,Tech,Reits,Russell3k,SP500,FTSE AW ex US,MSCI EM,1M Tbill,MBS ETF,Int'l Bond,EMD Local FI,Junk Bonds,GOLD
Geography,US,US,US,US,US,US,US,US,US,US,US,US,International,EM,US,US,International,EM,US,US
Asset Class,EQT,EQT,EQT,EQT,EQT,EQT,EQT,EQT,EQT,EQT,EQT,EQT,EQT,EQT,FI,FI,FI,FI,FI,Comm
Earliest Ava,12/31/1998,12/31/1998,12/31/1998,12/31/1998,12/31/1998,12/31/1998,12/31/1998,12/31/1998,12/31/1998,4/27/2001,9/22/2010,9/9/2010,3/8/2007,3/23/2007,5/30/2007,11/23/2009,6/4/2013,2/24/2011,12/4/2007,11/18/2004
Latest,1/31/2019,1/31/2019,1/31/2019,1/31/2019,1/31/2019,1/31/2019,1/31/2019,1/31/2019,1/31/2019,1/31/2019,1/31/2019,1/31/2019,1/31/2019,1/31/2019,1/31/2019,1/31/2019,1/31/2019,1/31/2019,1/31/2019,1/31/2019
Ticker,XLB US Equity,XLI US Equity,XLY US Equity,XLP US Equity,XLE US Equity,XLF US Equity,XLU US Equity,XLV US Equity,XLK US Equity,RWR US Equity,VTWO US Equity,VOOG US Equity,VEU US Equity,SPEM US Equity,GB1M Index,VMBS US Equity,BNDX US Equity,EBND US Equity,JNK US Equity,GLD US Equity
Periodicity,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
5/5/1999,0.011900747,0.00212766,-0.008412184,0.009656014,-0.014563945,0.005974773,0.007958415,0.00862069,0.020512821,,,,,,0.000122556,,,,,
5/6/1999,0.008395954,0.01910828,-0.022271012,-0.01314813,-0.002735849,-0.016624388,-0.021052632,0.004273504,-0.025125628,,,,,,0.000122361,,,,,
5/7/1999,0.00222099,-0.01354,0.022778308,0.008477763,0.006034677,0.019323212,0.012366452,-0.003189787,0.017182131,,,,,,0.000121972,,,,,
5/10/1999,-0.005538398,0.016895431,-0.00106214,-0.015613709,-0.011455766,-0.003557921,-0.002654485,-0.002134468,0.008445946,,,,,,0.000120694,,,,,
5/11/1999,-0.001672199,-0.00986582,0.02017155,0.004271869,0.003313024,0.011892713,0.003724807,0.016041042,0.015075377,,,,,,0.000120694,,,,,
5/12/1999,-0.025110714,-0.009964124,0.006243486,0.014580774,-0.018703597,0.014100747,0.002655069,0.009475368,0.01980198,,,,,,0.000120028,,,,,
5/13/1999,-0.004007781,-0.012711864,-0.005172277,0.00479041,0.005043946,0.009269787,0.013226644,-0.006256507,-0.002832362,,,,,,0.000121806,,,,,
5/14/1999,-0.002872644,-0.002145923,-0.019748857,-0.0178803,-0.007249532,-0.030997055,-0.01879894,-0.017840054,-0.026368536,,,,,,0.000121333,,,,,
5/17/1999,-0.001154581,-0.012903226,-0.020150125,0.006675728,-0.003933483,-0.018956903,0.020756555,-0.006410256,0.014168,,,,,,0.000121611,,,,,
5/18/1999,-0.024233606,0.015250545,0.006493506,-0.013262917,-0.023123766,0.002413022,-0.021899442,-0.010752688,0.009037293,,,,,,0.000123028,,,,,
5/19/1999,0.010052267,0.002681545,-0.011826237,0.014051083,0.013856813,0.007231135,0.020789765,0.011958261,0.003257329,,,,,,0.000121417,,,,,
5/20/1999,-0.011709602,-0.011769298,0.008705099,0.002409639,0.011389522,-0.01316112,-0.002088771,0.013425541,-0.012987013,,,,,,0.000115972,,,,,
5/21/1999,-0.000591469,-0.008662689,-0.006472481,-0.003003846,0.015765766,-0.002421805,-0.009420819,-0.011127918,-0.011513158,,,,,,0.000114194,,,,,
5/24/1999,-0.004150322,-0.003278643,-0.021715489,-0.025920168,-0.023836807,-0.0218731,0.010037832,-0.02357981,-0.021630616,,,,,,0.000115806,,,,,
5/25/1999,-0.00952381,-0.007122417,-0.009990659,-0.00990099,-0.003972292,-0.026087638,0.001047699,-0.009880993,-0.020832653,,,,,,0.000115806,,,,,
5/26/1999,-0.009615385,-0.016554525,0.011210762,0,0.028504395,0.032526741,0.00522298,0.001110421,0.020842365,,,,,,0.000119778,,,,,
5/27/1999,-0.023056311,0.010099196,-0.019955654,-0.005,-0.029931707,-0.024087822,-0.017150936,-0.011074177,-0.00723028,,,,,,0.000117639,,,,,
